Primary_Genre,Movie_Count
Drama,289
Action,172
Comedy,155
Crime,107
Biography,88
Animation,82
Adventure,71
Mystery,12
Horror,11
Western,4
Film-Noir,3
Family,2
Fantasy,2
Thriller,1
