Director,Average_Rating,Movie_Count
Frank Darabont,8.95,2
Milos Forman,8.5,2
Christopher Nolan,8.4625,8
Francis Ford Coppola,8.4,5
Peter Jackson,8.4,5
Charles Chaplin,8.33333333333333,6
Fritz Lang,8.3,2
Lee Unkrich,8.3,2
Nitesh Tiwari,8.3,2
Sergio Leone,8.26666666666667,6
